Team,Group
NED,B1
USA,A2
ARG,C1
AUS,D2
ENG,E1
SEN,F2
FRA,G1
POL,H2
JAP,B2
CRC,A1
BRA,D1
KOR,C2
MAR,F1
ESP,E2
POR,H1
SUI,G2
